Linhas,Col. 1,Col. 2,Col. 3,Col. 4,Col. 5,Col. 6,Col. 7,Col. 8,Col. 9,Col. 10,Col. 11,Col. 12,Col. 13
1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,2,2,2,2,2,2,2,2,2
3,1,1,1,1,3,3,3,3,3,3,3,3,3
4,1,2,2,2,1,1,1,2,2,2,3,3,3
5,1,2,2,2,2,2,2,3,3,3,1,1,1
6,1,2,2,2,3,3,3,1,1,1,2,2,2
7,1,3,3,3,1,1,1,3,3,3,2,2,2
8,1,3,3,3,2,2,2,1,1,1,3,3,3
9,1,3,3,3,3,3,3,2,2,2,1,1,1
10,2,1,2,3,1,2,3,1,2,3,1,2,3
11,2,1,2,3,2,3,1,2,3,1,2,3,1
12,2,1,2,3,3,1,2,3,1,2,3,1,2
13,2,2,3,1,1,2,3,2,3,1,3,1,2
14,2,2,3,1,2,3,1,3,1,2,1,2,3
15,2,2,3,1,3,1,2,1,2,3,2,3,1
16,2,3,1,2,1,2,3,3,1,2,2,3,1
17,2,3,1,2,2,3,1,1,2,3,3,1,2
18,2,3,1,2,3,1,2,2,3,1,1,2,3
19,3,1,3,2,1,3,2,1,3,2,1,3,2
20,3,1,3,2,2,1,3,2,1,3,2,1,3
21,3,1,3,2,3,2,1,3,2,1,3,2,1
22,3,2,1,3,1,3,2,2,1,3,3,2,1
23,3,2,1,3,2,1,3,3,2,1,1,3,2
24,3,2,1,3,3,2,1,1,3,2,2,1,3
25,3,3,2,1,1,3,2,3,2,1,2,1,3
26,3,3,2,1,2,1,3,1,3,2,3,2,1
27,3,3,2,1,3,2,1,2,1,3,1,3,2
