Linhas,Col. 1,Col. 2,Col. 3,Col. 4,Col. 5,Col. 6,Col. 7,Col. 8,Col. 9,Col. 10
1,1,1,1,1,1,1,1,1,1,1
2,1,1,2,2,2,2,2,2,2,2
3,1,1,3,3,3,3,3,3,3,3
4,1,1,4,4,4,4,4,4,4,4
5,1,2,1,1,2,2,3,3,4,4
6,1,2,2,2,1,1,4,4,3,3
7,1,2,3,3,4,4,1,1,2,2
8,1,2,4,4,3,3,2,2,1,1
9,1,3,1,2,3,4,1,2,3,4
10,1,3,2,1,4,3,2,1,4,3
11,1,3,3,4,1,2,3,4,1,2
12,1,3,4,3,2,1,4,3,2,1
13,1,4,1,2,4,3,3,4,2,1
14,1,4,2,1,3,4,4,3,1,2
15,1,4,3,4,2,1,1,2,4,3
16,1,4,4,3,1,2,2,1,3,4
17,2,1,1,4,1,4,2,3,2,3
18,2,1,2,3,2,3,1,4,1,4
19,2,1,3,2,3,2,4,1,4,1
20,2,1,4,1,4,1,3,2,3,2
21,2,2,1,4,2,3,4,1,3,2
22,2,2,1,4,2,3,4,1,3,2
23,2,2,3,2,4,1,2,3,1,4
24,2,2,4,1,3,2,1,4,2,3
25,2,3,1,3,3,1,2,4,3,2
26,2,3,2,4,4,2,1,3,3,1
27,2,3,3,1,1,3,4,2,2,4
28,2,3,4,2,2,4,3,1,1,3
29,2,4,1,3,4,2,4,2,1,3
30,2,4,2,4,3,1,3,1,2,4
31,2,4,3,1,2,4,2,4,3,1
32,2,4,4,2,1,3,1,3,4,2
