Linhas,Col. 1,Col. 2,Col. 3,Col. 4,Col. 5,Col. 6,Col. 7,Col. 8,Col. 9,Col. 10,Col. 11,Col. 12,Col. 13,Col. 14,Col. 15,Col. 16,Col. 17,Col. 18,Col. 19,Col. 20,Col. 21,Col. 22,Col. 23
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3
4,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,3,3,3,3
5,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,1,1,1
6,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,1,1,1,1,2,2,2,2
7,1,1,2,2,2,1,1,1,2,2,2,1,1,2,3,1,2,3,3,1,2,2,3
8,1,1,2,2,2,1,1,1,2,2,2,2,2,3,1,2,3,1,1,2,3,3,1
9,1,1,2,2,2,1,1,1,2,2,2,3,3,1,2,3,1,2,2,3,1,1,2
10,1,2,1,2,2,1,2,2,1,1,2,3,3,2,1,3,2,1,2,1,3,2,1
11,1,2,1,2,2,1,2,2,1,1,2,3,3,2,1,3,2,1,2,1,3,2,1
12,1,2,1,2,2,1,2,2,1,1,2,3,3,2,1,3,2,1,2,1,3,2,1
13,1,2,2,1,2,2,1,2,1,2,1,1,2,3,1,3,2,1,3,3,2,1,2
14,1,2,2,1,2,2,1,2,1,2,1,2,3,1,2,1,3,2,1,1,3,2,3
15,1,2,2,1,2,2,1,2,1,2,1,3,1,2,3,2,1,3,2,2,1,3,1
16,1,2,2,2,1,2,2,1,2,1,1,1,2,3,2,1,1,3,2,3,3,2,1
17,1,2,2,2,1,2,2,1,2,1,1,2,3,1,3,2,2,1,3,1,1,3,2
18,1,2,2,2,1,2,2,1,2,1,1,3,1,2,1,3,3,2,1,2,2,1,3
19,2,1,2,2,1,1,2,2,1,2,1,1,2,1,3,3,3,1,2,2,1,2,3
20,2,1,2,2,1,1,2,2,1,2,1,2,3,2,1,1,1,2,3,3,2,3,1
21,2,1,2,2,1,1,2,2,1,2,1,3,1,3,2,2,2,3,1,1,3,1,2
22,2,1,2,1,2,2,2,1,1,1,2,1,2,2,3,3,1,2,1,1,3,3,2
23,2,1,2,1,2,2,2,1,1,1,2,2,3,3,1,1,2,3,2,2,1,1,3
24,2,1,2,1,2,2,2,1,1,1,2,3,1,1,2,2,3,1,3,3,2,2,1
25,2,1,1,2,2,2,1,2,2,1,1,1,3,2,1,2,3,3,1,3,1,2,2
26,2,1,1,2,2,2,1,2,2,1,1,2,1,3,2,3,1,1,2,1,2,3,3
27,2,1,1,2,2,2,1,2,2,1,1,3,2,1,3,1,2,2,3,2,3,1,1
28,2,2,2,1,1,1,1,2,2,1,2,1,3,2,2,2,1,1,3,2,3,1,3
29,2,2,2,1,1,1,1,2,2,1,2,2,1,3,3,3,2,2,1,3,1,2,1
30,2,2,2,1,1,1,1,2,2,1,2,3,2,1,1,1,3,3,2,1,2,3,2
31,2,2,1,2,1,2,1,1,1,2,2,1,3,3,3,2,3,2,2,1,2,1,1
32,2,2,1,2,1,2,1,1,1,2,2,2,1,1,1,3,1,3,3,2,3,2,2
33,2,2,1,2,1,2,1,1,1,2,2,3,2,2,2,1,2,1,1,3,1,3,3
34,2,2,1,1,2,1,2,1,2,2,1,1,3,1,2,3,2,3,1,2,2,3,1
35,2,2,1,1,2,1,2,1,2,2,1,2,1,2,3,1,3,1,2,3,3,1,2
36,2,2,1,1,2,1,2,1,2,2,1,3,2,3,1,2,1,2,3,1,1,2,3
