Linhas,Col. 1,Col. 2,Col. 3,Col. 4,Col. 5,Col. 6,Col. 7,Col. 8,Col. 9,Col.10,Col.11,Col.12
1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,2,2,2,2,2,2,2,2,2,2
3,1,1,3,3,3,3,3,3,3,3,3,3
4,1,1,4,4,4,4,4,4,4,4,4,4
5,1,1,5,5,5,5,5,5,5,5,5,5
6,1,2,1,2,3,4,5,1,2,3,4,5
7,1,2,2,3,4,5,1,2,3,4,5,1
8,1,2,3,4,5,1,2,3,4,5,1,2
9,1,2,4,5,1,2,3,4,5,1,2,3
10,1,2,5,1,2,3,4,5,1,2,3,4
11,1,3,1,3,5,2,4,4,1,3,5,2
12,1,3,2,4,1,3,5,5,2,4,1,3
13,1,3,3,5,2,4,1,1,3,5,2,4
14,1,3,4,1,3,5,2,2,4,1,3,5
15,1,3,5,2,4,1,3,3,5,2,4,1
16,1,4,1,4,2,5,3,5,3,1,4,2
17,1,4,2,5,3,1,4,1,4,2,5,3
18,1,4,3,1,4,2,5,2,5,3,1,4
19,1,4,4,2,5,3,1,3,1,4,2,5
20,1,4,5,3,1,4,2,4,2,5,3,1
21,1,5,1,5,4,3,2,4,3,2,1,5
22,1,5,2,1,5,4,3,5,4,3,2,1
23,1,5,3,2,1,5,4,1,5,4,3,2
24,1,5,4,3,2,1,5,2,1,5,4,3
25,1,5,5,4,3,2,1,3,2,1,5,4
26,2,1,1,1,4,5,4,3,2,5,2,3
27,2,1,2,2,5,1,5,4,3,1,3,4
28,2,1,3,3,1,2,1,5,4,2,4,5
29,2,1,4,4,2,3,2,1,5,3,5,1
30,2,1,5,5,3,4,3,2,1,4,1,2
31,2,2,1,2,1,3,3,2,4,5,5,4
32,2,2,2,3,2,4,4,3,5,1,1,5
33,2,2,3,4,3,5,5,4,1,2,2,1
34,2,2,4,5,4,1,1,5,2,3,3,2
35,2,2,5,1,5,2,2,1,3,4,4,3
36,2,3,1,3,3,1,2,5,5,4,2,4
37,2,3,1,3,3,1,2,5,5,4,2,4
38,2,3,3,5,5,3,4,2,2,1,4,1
39,2,3,4,1,1,4,5,3,3,2,5,2
40,2,3,5,2,2,5,1,4,4,3,1,3
41,2,4,1,4,5,4,1,2,5,2,3,3
42,2,4,2,5,1,5,2,3,1,3,4,4
43,2,4,3,1,2,1,3,4,2,4,5,5
44,2,4,4,2,3,2,4,5,3,5,1,1
45,2,4,5,3,4,3,5,1,4,1,2,3
46,2,5,1,5,2,2,5,3,4,4,3,1
47,2,5,2,1,3,3,1,4,5,5,4,2
48,2,5,3,2,4,4,2,5,1,1,5,3
49,2,5,4,3,5,5,3,1,2,2,1,4
50,2,5,5,4,1,1,4,2,3,3,2,5
