Linhas,Col. 1,Col. 2,Col. 3,Col. 4,Col. 5,Col. 6,Col. 7,Col. 8,Col. 9,Col. 10,Col. 11,Col. 12,Col. 13,Col. 14,Col. 15
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
3,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2
4,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1
5,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2
6,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1
7,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1
8,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2
9,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
10,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1
11,2,1,2,2,1,2,1,1,2,1,2,2,1,2,1
12,2,1,2,2,1,2,1,2,1,2,1,1,2,1,2
13,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1
14,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2
15,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2
16,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1
